day,dayofweek,station,company,school,adult,children,,number,,‘ŠŠÖŒW”’Ê‹Î,‘ŠŠÖŒW”ˆê”Ê
 3/1,ŒŽ, sannnomiya,12912,2773,13586,31,,27,,0.195466957,-0.336354223
 3/2,‰Î, sannnomiya,12652,2719,12545,20,,16,,,
 3/3,…, sannnomiya,12557,2879,13917,30,,23,,,
 3/4,–Ø, sannnomiya,12793,2805,14152,26,,8,,,
 3/5,‹à, sannnomiya,12558,2784,14417,31,,23,,,
 3/6,“y, sannnomiya,5714,1949,12500,65,,23,,,
 3/7,“ú, sannnomiya,4303,1105,10166,56,,13,,,
 3/8,ŒŽ, sannnomiya,12787,2570,14686,45,,12,,,
 3/9,‰Î, sannnomiya,12877,2622,14295,27,,29,,,
 3/10,…, sannnomiya,12630,2547,15197,31,,21,,,
 3/11,–Ø, sannnomiya,12867,2309,16045,23,,37,,,
 3/12,‹à, sannnomiya,12714,2166,16860,35,,27,,,
 3/13,“y, sannnomiya,5861,1767,13023,58,,14,,,
 3/14,“ú, sannnomiya,4570,1238,11804,60,,14,,,
 3/15,ŒŽ, sannnomiya,12854,2338,15325,32,,27,,,
 3/16,‰Î, sannnomiya,12833,2086,15079,25,,25,,,
 3/17,…, sannnomiya,12484,2494,16046,26,,27,,,
 3/18,–Ø, sannnomiya,12831,2202,16061,33,,20,,,
 3/19,‹à, sannnomiya,12617,2466,17646,66,,40,,,
 3/20,j, sannnomiya,5203,1625,13884,43,,22,,,
 3/21,“ú, sannnomiya,4341,1116,10168,38,,15,,,
 3/22,ŒŽ, sannnomiya,12760,2006,15446,41,,21,,,
 3/23,‰Î, sannnomiya,12803,2166,15555,42,,46,,,
 3/24,…, sannnomiya,12437,1921,16374,77,,33,,,
 3/25,–Ø, sannnomiya,12895,1893,16679,134,,45,,,
 3/26,‹à, sannnomiya,12708,1819,18171,127,,77,,,
 3/27,“y, sannnomiya,6122,1580,15143,83,,46,,,
 3/28,“ú, sannnomiya,4445,1004,10772,62,,43,,,
 3/29,ŒŽ, sannnomiya,12677,1629,15904,138,,75,,,
 3/30,‰Î, sannnomiya,12810,1765,16138,133,,78,,,
 3/31,…, sannnomiya,12968,1725,15526,113,,91,,,
 4/1,–Ø, sannnomiya,13456,1683,16012,79,,85,,,
 4/2,‹à, sannnomiya,13220,2194,16463,80,,89,,,
 4/3,“y, sannnomiya,5909,2060,13585,59,,83,,,
 4/4,“ú, sannnomiya,4243,1136,11664,54,,51,,,
 4/5,ŒŽ, sannnomiya,13340,2927,14849,80,,113,,,
 4/6,‰Î, sannnomiya,13358,3232,14936,71,,136,,,
 4/7,…, sannnomiya,13004,3576,14417,42,,130,,,
 4/8,–Ø, sannnomiya,13228,5276,14477,28,,113,,,
 4/9,‹à, sannnomiya,12745,5429,14935,37,,122,,,
 4/10,“y, sannnomiya,5833,2823,12081,28,,76,,,
 4/11,“ú, sannnomiya,4297,1579,9718,36,,64,,,
 4/12,ŒŽ, sannnomiya,13222,6226,13160,28,,176,,,
 4/13,‰Î, sannnomiya,13178,6520,12927,25,,201,,,
 4/14,…, sannnomiya,13038,6445,12836,26,,161,,,
 4/15,–Ø, sannnomiya,13226,6302,13672,19,,218,,,
 4/16,‹à, sannnomiya,13112,6133,14334,19,,186,,,
 4/17,“y, sannnomiya,5513,2717,10444,26,,167,,,
 4/18,“ú, sannnomiya,4239,1925,9809,27,,112,,,
 4/19,ŒŽ, sannnomiya,13128,5661,12257,23,,174,,,
 4/20,‰Î, sannnomiya,13042,5914,12384,21,,238,,,
 4/21,…, sannnomiya,12789,5722,12434,24,,192,,,
 4/22,–Ø, sannnomiya,13073,5512,13248,24,,237,,,
 4/23,‹à, sannnomiya,13062,5516,13804,20,,250,,,
 4/24,“y, sannnomiya,5868,2808,11672,26,,195,,,
 4/25,“ú, sannnomiya,3498,1494,6766,19,,122,,,
 4/26,ŒŽ, sannnomiya,12699,4603,10741,23,,212,,,
 4/27,‰Î, sannnomiya,12329,4642,10597,16,,239,,,
 4/28,…, sannnomiya,12178,4515,11069,12,,218,,,
 4/29,j, sannnomiya,3747,1933,5823,10,,134,,,
 4/30,‹à, sannnomiya,10813,3923,10769,17,,196,,,
